Rank,Release Group,Worldwide,Domestic,%,Foreign,%
77,Resistance,"$266,576","$7,464",2.8%,"$259,112",97.2%
78,The Secret: Dare to Dream,"$264,720",-,-,"$264,720",100%
79,Tokyo Godfathers 2020 Re-release,"$237,571","$237,571",100%,-,-
80,Blind Eyes Opened,"$234,505","$234,505",100%,-,-
81,Back to the Future 2020 Re-release,"$233,054","$107,000",45.9%,"$126,054",54.1%
82,The Trip to Greece,"$232,640","$8,340",3.6%,"$224,300",96.4%
83,Doctor Who Live Q&A And Screening,"$228,615","$228,615",100%,-,-
84,National Theater Live: Cyrano de Bergerac,"$198,352","$198,352",100%,-,-
85,The Doors: Break On Thru - A Celebration Of Ray Manzarek,"$190,160","$190,160",100%,-,-
86,Palm Springs,"$164,000","$164,000",100%,-,-
87,Cruel Peter,"$163,925",-,-,"$163,925",100%
88,The Climb,"$161,635",-,-,"$161,635",100%
89,Love Story 50th Anniversary,"$153,504","$153,504",100%,-,-
90,The Booksellers,"$152,400","$25,694",16.9%,"$126,706",83.1%
91,Wendy,"$144,166","$143,518",99.6%,$648,0.4%
92,Incitement,"$140,306","$140,306",100%,-,-
93,We Summon the Darkness,"$140,105","$60,794",43.4%,"$79,311",56.6%
94,Gremlins 2020 Re-release,"$140,000","$140,000",100%,-,-
95,Archive,"$139,593","$139,593",100%,-,-
96,Most Wanted,"$138,000","$138,000",100%,-,-
97,Babyteeth,"$137,559","$4,507",3.3%,"$133,052",96.7%
98,Beneath Us,"$137,260","$137,260",100%,-,-
99,The Times of Bill Cunningham,"$134,288","$134,288",100%,-,-
100,Only,"$125,603",-,-,"$125,603",100%
101,Hope Gap,"$124,411","$104,732",84.2%,"$19,679",15.8%
102,"14 Days, 12 Nights","$122,806","$122,530",99.8%,$276,0.2%
103,Come to Daddy,"$116,930","$96,713",82.7%,"$20,217",17.3%
104,Black Water: Abyss,"$107,753",-,-,"$107,753",100%
105,Lucky Grandma,"$102,000","$102,000",100%,-,-
106,First Cow,"$101,068","$101,068",100%,-,-
107,First Lady,"$93,298","$93,298",100%,-,-
108,Miss Juneteenth,"$92,349","$92,349",100%,-,-
109,Irresistible,"$90,557",-,-,"$90,557",100%
110,Never Rarely Sometimes Always,"$88,716","$16,565",18.7%,"$72,151",81.3%
111,Greenland,"$73,112",-,-,"$73,112",100%
112,Come and See 2020 Re-release,"$71,909","$71,909",100%,-,-
113,How to Build a Girl,"$70,632","$70,632",100%,-,-
114,Nick Mason's Saucerful of Secrets: Live at the Roundhouse,"$69,967","$32,444",46.4%,"$37,523",53.6%
115,Shirley,"$68,920",-,-,"$68,920",100%
116,Saint Frances,"$59,257","$44,330",74.8%,"$14,927",25.2%
117,Summerland,"$59,000","$38,335",65%,"$20,665",35%
118,Young Ahmed Domestic,"$57,883","$21,291",36.8%,"$36,592",63.2%
119,A Simple Wedding,"$54,415","$54,415",100%,-,-
120,Miss Fisher and the Crypt of Tears (special screenings),"$51,158","$51,032",99.8%,$126,0.2%
121,VHYes,"$47,037","$47,037",100%,-,-
122,Enter the Fat Dragon,"$46,855","$46,855",100%,-,-
123,Three Christs,"$36,723","$36,723",100%,-,-
124,Tread,"$36,527","$36,527",100%,-,-
125,Waiting for Anya,"$36,404",-,-,"$36,404",100%
126,Made in Italy,"$32,567",-,-,"$32,567",100%
127,Max Winslow and the House of Secrets,"$31,250","$31,250",100%,-,-
128,After Parkland,"$30,444","$30,444",100%,-,-
129,Olympic Dreams,"$29,450","$29,450",100%,-,-
130,Buffaloed,"$29,118","$29,118",100%,-,-
131,Abe,"$28,657",-,-,"$28,657",100%
132,Cane River 2020 Re-release,"$27,317","$27,317",100%,-,-
133,José,"$26,563","$26,563",100%,-,-
134,Unsubscribe,"$25,488","$25,488",100%,-,-
135,Disappearance at Clifton Hill,"$25,084","$25,084",100%,-,-
136,Stage Mother,"$24,736",-,-,"$24,736",100%
